                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.85545,                 1.3795,                 1.2359,                0.90972,                0.95486,                0.96678,                0.78012,                0.69641,                0.52082,                 1.1049,               0.070306,              0.0032993,              0.0032993
                      1,                0.68608,                  0.532,                  1.094,                0.95029,                0.97938,                0.96833,                0.77751,                0.75343,                0.42648,                 1.1831,               0.040251,              0.0065779,              0.0065779
                      2,                0.71223,                0.55895,                 1.0879,                0.97619,                0.96352,                0.98216,                0.79774,                0.70095,                0.44931,                 1.1466,               0.010142,              0.0098015,              0.0098015
                      3,                0.74145,                0.54777,                 1.1112,                0.95416,                 0.9687,                0.95862,                 0.7696,                0.72051,                0.45744,                 1.1771,              0.0097525,              0.0097525,              0.0097525
                      4,                0.72296,                0.53897,                 1.0939,                0.85791,                0.77991,                0.89234,                0.69839,                0.80873,                0.80262,                  1.219,              0.0097525,              0.0097525,              0.0097525
                      5,                0.72737,                0.51687,                 1.0961,                 0.9747,                 0.9616,                0.97105,                0.80429,                0.65766,                 0.4563,                 1.0834,                0.00967,                0.00967,                0.00967
                      6,                0.69083,                0.48204,                 1.0838,                0.97548,                0.97534,                0.97715,                0.81122,                0.65149,                0.36284,                 1.0744,              0.0095875,              0.0095875,              0.0095875
                      7,                0.69731,                 0.4764,                 1.0842,                0.97076,                0.97938,                0.97408,                0.80046,                0.75648,                0.42036,                 1.1865,               0.009505,               0.009505,               0.009505
                      8,                0.66239,                0.44621,                  1.057,                0.93996,                0.88637,                0.95882,                0.79363,                 0.6489,                0.57953,                 1.0583,              0.0094225,              0.0094225,              0.0094225
                      9,                0.65547,                0.44204,                  1.057,                0.97767,                0.97938,                0.97697,                0.83437,                0.60813,                0.35187,                 1.0534,                0.00934,                0.00934,                0.00934
                     10,                0.65777,                0.43782,                 1.0603,                0.92318,                0.97938,                0.96911,                0.82152,                0.64243,                0.42752,                 1.0707,              0.0092575,              0.0092575,              0.0092575
                     11,                0.65555,                0.43147,                 1.0523,                0.97159,                0.97467,                0.97588,                0.82081,                 0.6199,                0.34455,                 1.0634,               0.009175,               0.009175,               0.009175
                     12,                0.64135,                0.41905,                 1.0483,                0.97851,                0.97938,                0.97707,                0.83093,                0.61803,                0.33034,                 1.0549,              0.0090925,              0.0090925,              0.0090925
                     13,                0.62951,                0.41199,                 1.0374,                0.97399,                0.97938,                0.97811,                0.82744,                0.62296,                0.32263,                 1.0525,                0.00901,                0.00901,                0.00901
                     14,                0.61415,                0.40491,                 1.0323,                0.97681,                0.97938,                0.97611,                0.82312,                0.61698,                0.32691,                 1.0417,              0.0089275,              0.0089275,              0.0089275
                     15,                0.61106,                0.40098,                 1.0301,                0.97771,                0.97938,                0.97805,                0.82466,                 0.5963,                0.31175,                 1.0368,               0.008845,               0.008845,               0.008845
                     16,                0.58813,                0.39104,                 1.0209,                0.97377,                0.98183,                  0.976,                  0.833,                0.58966,                0.30746,                 1.0513,              0.0087625,              0.0087625,              0.0087625
                     17,                0.58834,                0.38339,                  1.018,                0.97477,                0.94864,                0.97203,                 0.8315,                0.58398,                0.34021,                 1.0418,                0.00868,                0.00868,                0.00868
                     18,                0.58378,                0.38079,                 1.0121,                0.97611,                0.97938,                0.97464,                0.83207,                0.61334,                0.32012,                  1.049,              0.0085975,              0.0085975,              0.0085975
                     19,                0.58803,                0.38541,                 1.0139,                0.97817,                0.97313,                0.98115,                0.84477,                0.60314,                0.30586,                 1.0558,               0.008515,               0.008515,               0.008515
                     20,                0.56795,                0.37163,                 1.0085,                0.97525,                0.97065,                0.97922,                0.84378,                0.56051,                 0.3415,                 1.0208,              0.0084325,              0.0084325,              0.0084325
                     21,                0.57288,                0.37448,                 1.0164,                0.97732,                0.97938,                0.97757,                0.83065,                0.61912,                0.30308,                 1.0374,                0.00835,                0.00835,                0.00835
                     22,                0.56081,                0.37234,                 1.0022,                0.97532,                 0.9801,                 0.9844,                0.85447,                0.59071,                0.28643,                 1.0261,              0.0082675,              0.0082675,              0.0082675
                     23,                0.54821,                0.35559,                 1.0023,                0.97491,                0.97429,                0.97588,                0.83051,                0.59369,                0.32541,                 1.0353,               0.008185,               0.008185,               0.008185
                     24,                0.54915,                0.36034,                0.99874,                0.97078,                0.97188,                0.98091,                0.84808,                0.63233,                0.30327,                 1.0586,              0.0081025,              0.0081025,              0.0081025
                     25,                0.56335,                0.37676,                 1.0053,                 0.9448,                0.98422,                0.98168,                0.85422,                0.56192,                0.30643,                 1.0085,                0.00802,                0.00802,                0.00802
                     26,                 0.5348,                0.34395,                0.98356,                0.97183,                0.97938,                0.98032,                0.86139,                0.55625,                0.27762,                 1.0008,              0.0079375,              0.0079375,              0.0079375
                     27,                 0.5416,                 0.3475,                0.98983,                 0.9806,                0.98106,                0.98058,                0.85303,                0.58823,                0.28901,                 1.0238,               0.007855,               0.007855,               0.007855
                     28,                0.53659,                0.35437,                0.98969,                0.97479,                0.98155,                 0.9794,                0.84683,                0.59502,                0.28991,                 1.0295,              0.0077725,              0.0077725,              0.0077725
                     29,                0.54086,                0.34952,                0.98625,                0.97428,                0.98222,                0.97888,                 0.8233,                0.64993,                0.30864,                 1.0635,                0.00769,                0.00769,                0.00769
                     30,                0.52828,                 0.3368,                0.98517,                0.97581,                0.97938,                0.97894,                0.84142,                0.56194,                0.27028,                 1.0104,              0.0076075,              0.0076075,              0.0076075
                     31,                0.52228,                0.34525,                0.97551,                0.97377,                 0.9827,                0.98327,                0.84632,                0.54322,                0.30036,                0.99653,               0.007525,               0.007525,               0.007525
                     32,                0.51535,                0.34578,                0.98834,                0.97037,                0.97938,                0.97921,                0.85994,                0.54477,                0.28181,                0.98621,              0.0074425,              0.0074425,              0.0074425
                     33,                0.50692,                0.33009,                0.97875,                0.97135,                0.97938,                0.97766,                0.85276,                0.58105,                0.27936,                 1.0212,                0.00736,                0.00736,                0.00736
                     34,                0.51338,                0.32841,                 0.9885,                 0.9692,                0.97938,                 0.9806,                0.85963,                0.57355,                0.28344,                 1.0087,              0.0072775,              0.0072775,              0.0072775
                     35,                0.51266,                0.33048,                0.97833,                0.97192,                 0.9841,                0.98258,                0.85201,                0.57643,                0.29227,                  1.026,               0.007195,               0.007195,               0.007195
                     36,                0.50132,                0.33251,                0.97546,                0.97809,                0.98229,                0.97956,                0.85187,                0.56586,                0.27996,                 1.0071,              0.0071125,              0.0071125,              0.0071125
                     37,                 0.5193,                0.33146,                0.98706,                0.95078,                0.96339,                0.98035,                0.83355,                0.67301,                0.33125,                 1.0773,                0.00703,                0.00703,                0.00703
                     38,                0.50995,                0.33332,                0.97311,                0.97294,                0.97938,                 0.9795,                0.84887,                0.58002,                0.28798,                 1.0011,              0.0069475,              0.0069475,              0.0069475
                     39,                0.50601,                0.32469,                0.97451,                0.97314,                0.97938,                0.98158,                0.85319,                 0.5717,                0.27446,                 1.0164,               0.006865,               0.006865,               0.006865
                     40,                0.50142,                0.31854,                0.97304,                0.96622,                0.97938,                0.97818,                0.85997,                0.54125,                0.26944,                0.98603,              0.0067825,              0.0067825,              0.0067825
                     41,                0.48817,                0.31428,                0.96529,                0.98081,                0.97898,                0.98167,                0.86364,                0.54514,                 0.2688,                0.99447,                 0.0067,                 0.0067,                 0.0067
                     42,                 0.4964,                0.31703,                0.98026,                0.97269,                0.98349,                0.98267,                0.85769,                0.54066,                0.25635,                0.98892,              0.0066175,              0.0066175,              0.0066175
                     43,                0.49551,                0.31772,                0.97176,                0.96631,                0.97938,                 0.9822,                0.86621,                0.54216,                0.28526,                0.99455,               0.006535,               0.006535,               0.006535
                     44,                0.47994,                0.29963,                0.96846,                0.97497,                0.98108,                0.98262,                 0.8662,                0.54061,                0.24797,                 0.9892,              0.0064525,              0.0064525,              0.0064525
                     45,                0.47689,                0.30297,                0.96575,                0.96371,                0.98443,                0.97913,                0.85106,                0.54917,                0.26294,                0.99924,                0.00637,                0.00637,                0.00637
                     46,                0.48905,                0.30354,                0.97401,                0.96772,                0.98085,                0.97956,                0.85957,                0.54104,                0.28012,                0.98843,              0.0062875,              0.0062875,              0.0062875
                     47,                0.48717,                0.30402,                0.96799,                0.96695,                0.97861,                0.97898,                0.86014,                0.55283,                0.25889,                0.99673,               0.006205,               0.006205,               0.006205
                     48,                0.46816,                0.29966,                 0.9644,                0.97044,                0.98306,                0.97898,                0.84857,                 0.5573,                0.28514,                0.99847,              0.0061225,              0.0061225,              0.0061225
                     49,                 0.4783,                0.31307,                0.96086,                0.96223,                0.98153,                0.98066,                 0.8697,                 0.5561,                0.26559,                0.98965,                0.00604,                0.00604,                0.00604
                     50,                 0.4709,                0.29542,                0.96538,                0.96626,                0.97938,                  0.983,                0.87296,                0.54986,                0.25387,                0.99679,              0.0059575,              0.0059575,              0.0059575
                     51,                0.47145,                0.29169,                0.96255,                0.97165,                0.97938,                0.98313,                0.86767,                0.57432,                0.26095,                 1.0077,               0.005875,               0.005875,               0.005875
                     52,                0.46347,                0.29005,                0.96014,                0.96471,                0.97938,                 0.9804,                0.85663,                 0.5593,                0.26718,                0.99619,              0.0057925,              0.0057925,              0.0057925
                     53,                   0.47,                 0.2994,                0.96631,                0.96956,                0.97707,                0.98053,                0.85887,                0.54942,                 0.2614,                0.99162,                0.00571,                0.00571,                0.00571
                     54,                 0.4577,                0.29037,                0.95753,                0.95239,                0.97938,                0.97833,                0.85994,                0.57602,                0.26264,                 1.0047,              0.0056275,              0.0056275,              0.0056275
                     55,                0.45747,                 0.2907,                0.95419,                0.97675,                0.97685,                0.97655,                0.85947,                0.54712,                0.25839,                0.98255,               0.005545,               0.005545,               0.005545
                     56,                0.45187,                0.28479,                0.95849,                0.97406,                 0.9793,                0.98089,                0.86787,                0.52516,                0.25323,                0.97565,              0.0054625,              0.0054625,              0.0054625
